user_id,grade
0,1
1,1
2,3
3,1
4,3
5,1
6,1
7,3
8,1
9,0
10,1
11,4
12,2
13,1
14,1
15,1
16,2
17,2
18,3
19,1
20,4
21,1
22,2
23,3
24,1
25,3
26,1
27,4
28,1
29,4
30,1
31,1
32,1
33,4
34,2
35,2
36,1
37,1
38,2
39,4
40,3
41,2
42,1
43,1
44,1
45,3
46,2
47,1
48,4
49,1
50,1
51,3
52,2
53,1
54,1
55,1
56,2
57,4
58,3
59,2
60,2
61,0
62,2
63,3
64,1
65,1
66,1
67,1
68,2
69,1
70,2
71,1
72,2
73,1
74,2
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,2
83,1
84,4
85,3
86,1
87,1
88,1
89,3
90,1
91,1
92,1
93,2
94,3
95,1
96,1
97,3
98,0
99,3
100,0
101,1
102,1
103,2
104,1
105,2
106,1
107,2
108,3
109,2
110,3
111,1
112,1
113,4
114,1
115,1
116,3
117,1
118,1
119,1
120,1
121,2
122,4
123,1
124,2
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,2
139,1
140,1
141,1
142,3
143,2
144,3
145,2
146,1
147,1
148,1
149,2
150,4
151,3
152,1
153,0
154,3
155,1
156,2
157,0
158,3
159,3
160,1
161,1
162,1
163,2
164,2
165,1
166,1
167,2
168,1
169,1
170,1
171,0
172,1
173,1
174,0
175,2
176,1
177,0
178,1
179,1
180,1
181,2
182,0
183,1
184,3
185,1
186,1
187,1
188,0
189,2
190,1
191,1
192,1
193,1
194,0
195,4
196,2
197,4
198,1
199,1
200,3
201,1
202,1
203,1
204,2
205,0
206,1
207,3
208,1
209,2
210,1
211,1
212,3
213,1
214,1
215,3
216,2
217,0
218,0
219,3
220,3
221,3
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,3
230,1
231,1
232,3
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,2
241,1
242,0
243,2
244,2
245,3
246,1
247,1
248,1
249,3
250,3
251,0
252,2
253,3
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,3
262,1
263,1
264,1
265,1
266,1
267,1
268,2
269,1
270,0
271,1
272,1
273,1
274,2
275,3
276,1
277,1
278,2
279,1
280,3
281,1
282,1
283,2
284,1
285,1
286,0
287,1
288,0
289,0
290,1
291,1
292,2
293,1
294,1
295,1
296,1
297,1
298,2
299,0
300,0
301,0
302,2
303,1
304,1
305,1
306,1
307,1
308,0
309,2
310,1
311,0
312,1
313,1
314,1
315,1
316,1
317,2
318,1
319,2
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,2
331,2
332,1
333,1
334,1
335,1
336,1
337,1
338,3
339,0
340,3
341,1
342,0
343,1
344,2
345,1
346,2
347,1
348,1
349,1
350,1
351,0
352,1
353,1
354,1
355,1
356,1
357,2
358,1
359,3
360,3
361,1
362,0
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,2
372,1
373,1
374,1
375,1
376,2
377,1
378,1
379,0
380,2
381,1
382,1
383,1
384,1
385,2
386,1
387,1
388,1
389,2
390,3
391,1
392,1
393,3
394,3
395,3
396,3
397,0
398,1
399,2
400,3
401,1
402,1
403,3
404,2
405,2
406,0
407,3
408,4
409,1
410,1
411,1
412,1
