user_id,grade
0,1
1,2
2,1
3,3
4,1
5,3
6,1
7,1
8,1
9,3
10,1
11,0
12,1
13,1
14,4
15,2
16,1
17,1
18,1
19,2
20,2
21,3
22,1
23,4
24,1
25,2
26,1
27,3
28,1
29,4
30,3
31,1
32,4
33,1
34,4
35,3
36,1
37,1
38,1
39,4
40,1
41,2
42,2
43,1
44,1
45,3
46,2
47,4
48,3
49,2
50,1
51,1
52,1
53,1
54,3
55,2
56,1
57,4
58,1
59,1
60,3
61,2
62,3
63,1
64,1
65,1
66,2
67,4
68,3
69,2
70,2
71,0
72,2
73,3
74,1
75,1
76,1
77,1
78,2
79,1
80,2
81,1
82,2
83,1
84,2
85,3
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,2
95,1
96,1
97,4
98,3
99,1
100,1
101,1
102,3
103,1
104,1
105,1
106,2
107,3
108,4
109,1
110,1
111,3
112,0
113,3
114,0
115,1
116,1
117,1
118,2
119,1
120,2
121,1
122,2
123,3
124,2
125,3
126,1
127,1
128,4
129,1
130,1
131,1
132,3
133,1
134,1
135,1
136,1
137,2
138,4
139,1
140,2
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,2
155,1
156,1
157,1
158,3
159,2
160,3
161,2
162,1
163,1
164,1
165,2
166,4
167,3
168,1
169,0
170,3
171,1
172,2
173,0
174,3
175,3
176,1
177,3
178,1
179,1
180,2
181,2
182,1
183,1
184,2
185,1
186,1
187,1
188,0
189,1
190,1
191,0
192,2
193,1
194,0
195,1
196,1
197,1
198,2
199,0
200,1
201,3
202,1
203,1
204,1
205,0
206,2
207,1
208,1
209,1
210,1
211,0
212,4
213,2
214,4
215,1
216,1
217,3
218,1
219,1
220,1
221,2
222,0
223,1
224,3
225,1
226,2
227,1
228,1
229,3
230,1
231,1
232,3
233,2
234,0
235,4
236,0
237,3
238,3
239,3
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,3
248,1
249,1
250,3
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,2
259,1
260,0
261,2
262,2
263,3
264,1
265,1
266,1
267,3
268,3
269,0
270,2
271,3
272,1
273,1
274,1
275,0
276,1
277,1
278,1
279,3
280,3
281,1
282,1
283,1
284,1
285,1
286,1
287,2
288,1
289,0
290,1
291,1
292,1
293,2
294,3
295,3
296,1
297,1
298,2
299,1
300,3
301,1
302,1
303,2
304,1
305,1
306,3
307,0
308,1
309,0
310,0
311,1
312,1
313,2
314,1
315,1
316,1
317,1
318,1
319,2
320,0
321,0
322,0
323,2
324,1
325,1
326,1
327,1
328,1
329,0
330,2
331,1
332,0
333,1
334,1
335,1
336,1
337,1
338,2
339,1
340,2
341,1
342,1
343,1
344,1
345,3
346,1
347,0
348,1
349,1
350,1
351,1
352,2
353,2
354,1
355,1
356,1
357,1
358,1
359,1
360,3
361,0
362,3
363,1
364,0
365,1
366,2
367,1
368,2
369,1
370,1
371,1
372,1
373,0
374,1
375,1
376,1
377,1
378,1
379,2
380,1
381,3
382,3
383,1
384,0
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,2
394,1
395,1
396,1
397,1
398,2
399,1
400,1
401,0
402,2
403,1
404,1
405,1
406,1
407,2
408,1
409,1
410,1
411,2
412,3
413,4
414,1
415,3
416,1
417,3
418,3
419,3
420,3
421,0
422,1
423,2
424,3
425,1
426,1
427,3
428,2
429,2
430,0
431,3
432,3
433,4
434,1
435,1
436,1
437,1
